_id,accommodates,neighbourhood,government_area,city,country,country_code,host_id,host_name,host_is_superhost,host_location,host_neighbourhood,host_response_time,number_of_reviews,guests_included,reviews_per_month,room_type,bed_type,minimum_nights,maximum_nights,Latitudes,Longitudes,price,bedrooms,beds,property_type,number_of_reviews,first_review,availability_30,availability_60,availability_90,availability_365,Amenities
10051164,8,"A Grande Morada situa-se no Bairro do Catete, histórico bairro ladeado pelo morro de Santa Tereza, pelo bairro da Lapa, pelo Parque do Flamengo e pelo Largo do Machado. Esta localização privilegiada oferece, em seu entorno, além das belas paisagens, acesso à Estação de Metro, a várias linhas de ônibus e a excelente e diversificado comércio, lazer e diversão. É um bairro pequeno e seguro, esteticamente bonito, habitado por pessoas cordiais que se conhecem e convivem cotidianamente, o que pode ser atestado por nós, que aqui moramos há mais de trinta anos.",Catete,Rio De Janeiro,Brazil,BR,51326285,Beatriz,False,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Catete,within an hour,1,4,0,Private room,Real Bed,2,1125,-43.18015675229857,-22.92638234778768,250.0,1,8,House,1,2016-02-10 05:00:00+00:00,10,10,21,296,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen"
1001265,2,You can breath ocean as well as aloha.,Primary Urban Center,Oahu,United States,US,5448114,David,False,"Honolulu, Hawaii, United States",Waikiki,within an hour,96,1,0,Entire home/apt,Real Bed,3,365,-157.83919,21.28634,115.0,1,1,Condominium,96,2013-05-24 04:00:00+00:00,16,46,76,343,"TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen"
10030955,2,0,Lagoa,Rio De Janeiro,Brazil,BR,51496939,Livia,False,BR,Lagoa,0,0,1,0,Private room,Real Bed,1,1125,-43.20504708263344,-22.971950988341877,701.0,1,1,Apartment,0,1970-01-01 00:00:00+00:00,28,58,88,363,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool"
1003530,2,"Great neighborhood - many terrific restaurants, bakeries, bagelries. Within easy walking distance are restaurants with the cuisines from India, Thailand, Japan, China, Mexico, South America and Europe.  As well as the many small independent stores that line Broadway, there chain stores such as Urban Outfitters (clothing), Whole Foods (groceries), Sephora (cosmetics), Michaels (crafts), and Modell's (sporting goods). Equidistant to Central Park and Riverside Park which have walking/running/biking trails as well as tennis and racquet ball courts. 10-15 blocks from Columbia University between Broadway and Amsterdam. The International Hostel across the street is an airport shuttle bus and double-decker tour bus stop.  The Hostel also has services available to the neighborhood such as lectures, brochures, etc.",Upper West Side,New York,United States,US,454250,Greta,True,"New York, New York, United States",0,within an hour,70,1,0,Private room,Real Bed,12,360,-73.96523,40.79962,135.0,1,1,Apartment,70,2013-04-29 04:00:00+00:00,0,0,0,93,"Internet, Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom"
10059244,2,"L'appartement se trouve à 4 minutes de marche de la promenade Ontario, où on y trouve une multitude de boutiques locales, marchés bio, boucherie, restaurant et parcs.",Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,7140229,Caro,False,"Montreal, Quebec, Canada",0,within an hour,0,1,0,Entire home/apt,Real Bed,2,1125,-73.54949,45.54548,43.0,0,1,Apartment,0,1970-01-01 00:00:00+00:00,0,0,0,32,"TV, Internet, Wifi, Kitchen, Free parking on premises, Heating"
10066928,6,"L'appartement se situe au coeur du Plateau, donc très central pour toutes vos activités. À 1 min à pied se trouvent bars, restaurants, magasins, épiceries. Le quartier est très vivant et idéal pour découvrir Montréal.",Le Plateau-Mont-Royal,Montreal,Canada,CA,9036477,Margaux,False,"Montreal, Quebec, Canada",Le Plateau,0,0,1,0,Entire home/apt,Real Bed,1,1125,-73.57383,45.52233,140.0,3,3,Apartment,0,1970-01-01 00:00:00+00:00,0,0,0,0,"Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer"
10082422,2,Dreta de l'Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,30393403,Anna,False,"Barcelona, Catalonia, Spain",Dreta de l'Eixample,0,0,1,0,Private room,Real Bed,1,9,2.16942,41.40082,50.0,1,2,Apartment,0,1970-01-01 00:00:00+00:00,0,0,0,0,"Internet, Wifi, Kitchen, Elevator, Heating, Washer"
10059872,3,0,Central & Western,Hong Kong,Hong Kong,HK,51624384,Giovanni,False,"Hong Kong, Hong Kong",Soho,0,3,1,0,Entire home/apt,Real Bed,4,20,114.15027,22.28158,699.0,1,2,Apartment,3,2015-12-19 05:00:00+00:00,0,0,0,0,"Air conditioning, Kitchen, Smoking allowed, Doorman, Elevator, Heating"
10233856,3,"❤ walk from my house to go up within 5-15 minutes:  Electric Street, Mong Kok (Sai Yeung Choi Street),  famous Ladies Night Market (Tung Choi Street),  Sneaker Street (Yee Street),  Yuen Po Street Bird Garden,  Mong Kok Flower Market,  Goldfish Street, Mong Kok,  Langham Place Mall (the largest shopping mall in Mong Kok)  Temple ❤ radius of 5 minutes walk from there all over Hong Kong's bus station, airport A21 bus stop (walk downstairs in the hotel five seconds that is), over hundreds of establishments and shops, money exchange shop, such as salsa, Bonjour, Fortress, Broadway, Chow Sang Sang, Chow Tai Fook, Milan Station (specialized in selling major brand-name handbags), the largest shopping mall from Mongkok Langham Place is only 120 meters from the Avenue of Stars in Tsim Sha Tsui, Harbour City, just a 7-minute subway ride to go Hong Kong Coliseum concert will also direct underground. Hotels near metro station: Mong Kok MTR Station Exit E1, walk along Nathan Road to 120 meters Near",Yau Tsim Mong,Hong Kong,Hong Kong,HK,52473150,Danny,False,Hong Kong,Mong Kok,within an hour,22,1,0,Private room,Real Bed,1,500,114.17073,22.31723,400.0,1,2,Apartment,22,2016-08-28 04:00:00+00:00,30,60,90,145,"TV, Wifi, Air conditioning, Doorman, Elevator, Family/kid friendly"
1016739,2,"You definitely don't need a car here, all shops, cafes and beach are within 3 mins walk. The beach is 300M meters away, plus many beautiful seaside parks with BBQ facilities and picnic areas.",Randwick,Sydney,Australia,AU,5595776,David,False,"Sydney, New South Wales, Australia",Coogee,within a few hours,8,1,0,Private room,Real Bed,3,365,151.25541,-33.92398,64.0,1,2,House,8,2013-07-15 04:00:00+00:00,0,0,19,20,"TV, Internet, Wifi, Kitchen, Smoking allowed, Doorman"
10133350,5,"Walk to Central Park or Madison ave shops.  Plenty of restaurants, pizza and great bagel shop.",Upper East Side,New York,United States,US,52004369,Chelsea,False,"Sea Cliff, New York, United States",0,0,9,1,0,Entire home/apt,Real Bed,2,7,-73.95854,40.7664,275.0,2,2,Apartment,9,2016-05-28 04:00:00+00:00,0,0,0,0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen"
10116256,6,0,Sisli,Istanbul,Turkey,TR,51471538,Ahmet,False,"Istanbul, İstanbul, Turkey",Şişli,within an hour,0,1,0,Entire home/apt,Real Bed,1,1125,28.98818,41.04772,997.0,2,5,Serviced apartment,0,1970-01-01 00:00:00+00:00,30,60,90,365,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen"
10084023,1,"Cheapest food, electronic device, clothing and other stuff in Hong Kong can be found in this area. Lots of Traditional and old fashion building are located here. ""Dark side"" of Hong Kong can also be found here, because many elderly and poor are living Here",Sham Shui Po,Hong Kong,Hong Kong,HK,51744313,Yi,False,United States,Shek Kip Mei,within an hour,81,1,0,Private room,Futon,1,500,114.1669,22.3314,181.0,1,1,Guesthouse,81,2015-12-22 05:00:00+00:00,14,24,40,220,"TV, Wifi, Air conditioning, Kitchen, Elevator, First aid kit"
10133554,3,Cankurtaran mahallesi akbıyık caddesi no 22 Sultanahmet Fatih İstanbul,Fatih,Istanbul,Turkey,TR,52004703,Mehmet Emin,False,"Istanbul, İstanbul, Turkey",0,within a few hours,29,1,0,Private room,Real Bed,1,1125,28.98009,41.0062,121.0,1,2,Bed and breakfast,29,2017-05-04 04:00:00+00:00,30,60,90,365,"Internet, Wifi, Air conditioning, Free parking on premises, Smoking allowed, Heating"
10228731,1,"O meu bairro e bastante residencial, com ruas de fácil circulação e tidas as facilidades disponíveis de mercado, farmácia e locais de cultura",Tijuca,Rio De Janeiro,Brazil,BR,12673423,Gilberto,False,"Rio, Rio de Janeiro, Brazil",Tijuca,0,1,1,0,Private room,Real Bed,1,15,-43.247421907135774,-22.936203246553816,149.0,1,1,Apartment,1,2016-05-26 04:00:00+00:00,28,58,88,178,"Internet, Wifi, Kitchen, Free parking on premises, Family/kid friendly, Washer"
10227000,4,0,Lahaina,Maui,United States,US,12057949,Holly,False,"Las Vegas, Nevada, United States",Central Business District,within a day,1,1,0,Entire home/apt,Real Bed,1,1125,-156.68012,20.96996,499.0,1,2,Condominium,1,2016-02-20 05:00:00+00:00,30,60,90,365,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible"
10141950,2,LKF Escalators IFC Mall SOHO food Wellington St Food!,Central & Western,Hong Kong,Hong Kong,HK,11435086,Regg,False,Hong Kong,Sheung Wan,0,1,1,0,Entire home/apt,Real Bed,2,1125,114.15007,22.28422,966.0,0,1,Apartment,1,2016-01-06 05:00:00+00:00,0,0,0,0,"TV, Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom"
10091713,2,"Surry Hills is a vibrant eclectic community and an amazing place to live, and this studio is in the centre of it all. A fantastic range of small bars and restaurants are on your doorstep, along with Sydney's best breakfasts for the next morning. Central to public transport, busses to Bondi Beach and the city are 50 metres from the front door.",Sydney,Sydney,Australia,AU,13764143,Ben,False,"New South Wales, Australia",Surry Hills,0,64,1,0,Entire home/apt,Real Bed,10,21,151.21554,-33.88029,181.0,0,1,Apartment,64,2016-12-29 05:00:00+00:00,0,0,0,0,"TV, Wifi, Kitchen, Elevator, Heating, Washer"
10108388,2,"AREA Located within a vibrant and contemporary part of the city that is seeped in rich history and within walking distance of many attractions including: Hyde Park, St Mary's Cathedral, NSW Art Gallery, The Domaine, The Sydney Museum and less than a 30 minute walk to The Sydney Opera House, Sydney Harbour Bridge, Darling Harbour, Chinese Gardens, Wildlife Parks and Aquarium.  SYDNEY PRIVÉ If you wish discover why Sydney is such an extraordinary place then I would highly recommend  Sydney Privé, which is an exclusive concierge service that specialises in providing personalised tours and luxury experiences for the most discerning traveller. To truly experience Sydney, one must explore the local hideouts,  and there is no better place to do this than in Darlinghurst. Darlinghurst is the heartbeat of the city!  Checkout our airbnb Guidebook for some of our favourite hideouts.  The Guidebook will provide you with website links and actual location.",Sydney,Sydney,Australia,AU,16187044,Desireé,True,Australia,Darlinghurst,within an hour,109,1,0,Entire home/apt,Real Bed,2,30,151.21346,-33.87603,185.0,1,1,Apartment,109,2016-06-30 04:00:00+00:00,5,16,35,265,"TV, Wifi, Air conditioning, Pool, Kitchen, Gym"
10209136,2,"Fairlight is the suburb between Manly and Balgowlah. It is quiet, close to the water and no more than 10mins away from everything you could need. Balgowlah shops is a 10 min walk with many cafes and restaurants. Manly is a 15min walk away, a very nice walk along the water.",Manly,Sydney,Australia,AU,52453573,Isaac,False,"Sydney, New South Wales, Australia",0,0,4,2,0,Private room,Real Bed,1,1125,151.26969,-33.79629,36.0,1,1,Apartment,4,2016-01-24 05:00:00+00:00,0,0,0,0,"Internet, Wifi, Kitchen, Free parking on premises, Heating, Family/kid friendly"
10215858,2,"Electric Street, Mong Kok near there (Sai Yeung Choi Street), the famous Ladies Market (Tung Choi Street), Sneaker Street (Yee Street), etc., have a radius of 5-minute walk across the Hong Kong bus station, airport bus station A21 (just walk downstairs in the hotel five seconds that is), over hundreds of establishments and shops, money exchange shop, such as salsa, Bonjour, Fortress, Broadway, Chow Sang Sang, Chow Tai Fook, Milan station (specialized in selling major brand-name handbags) only 120 meters away from the biggest shopping mall in Mong Kok Langham distance Avenue of Stars in Tsim Sha Tsui, Harbour City just seven minutes subway ride, go to Hong Kong Coliseum concert also metro.",Yau Tsim Mong,Hong Kong,Hong Kong,HK,52473150,Danny,False,Hong Kong,Mong Kok,within an hour,9,1,0,Private room,Real Bed,1,500,114.17034,22.31655,330.0,1,1,Apartment,9,2016-07-13 04:00:00+00:00,20,50,80,135,"TV, Wifi, Air conditioning, Doorman, Elevator, Family/kid friendly"
10112159,2,"Exciting, urban and dinamic, stay with us, near the center, and enjoy a unique stay!","Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,2649859,Elisabete,False,"Porto, Porto, Portugal",0,0,0,2,0,Private room,Real Bed,1,1125,-8.60867,41.1543,40.0,1,1,Hostel,0,1970-01-01 00:00:00+00:00,30,60,87,359,"TV, Cable TV, Wifi, Family/kid friendly, Smoke detector, Fire extinguisher"
10117617,2,"Vila do Conde, além de ser um centro de veraneio (praia e piscinas), é também um ativo centro cultural e turístico, devido aos monumentos que a povoam (Fortaleza de S. João, Igreja e Convento de Santa Clara, Igreja da Misericórdia e a zona histórica…), à biblioteca pública, à Casa Museu José Régio….",Vila do Conde,Porto,Portugal,PT,51920973,Manuela,False,"Porto, Porto District, Portugal",0,within a day,12,2,0,Entire home/apt,Real Bed,7,180,-8.75383,41.3596,40.0,1,1,Apartment,12,2016-04-19 04:00:00+00:00,0,0,0,46,"TV, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly"
10116578,5,0,Laranjeiras,Rio De Janeiro,Brazil,BR,51915770,Luiz Rodrigo,False,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,0,0,1,0,Entire home/apt,Real Bed,1,1125,-43.1825954762751,-22.93054146036793,933.0,3,3,Apartment,0,1970-01-01 00:00:00+00:00,30,60,90,365,"Cable TV, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Free parking on premises"
10213499,2,We are unique in the fact we are across the road from Narrabeen Lake with a beautiful 8.2km walking track.  This time of year you will be able to see a large number of black swans on the lake or take a kayak or stand-up paddle board to take a closer look. There are coffee shops on the beach side of the lake where there are plenty of restaurants and the bus stop to the city.  You have a selection of beaches that at very close by that are all patrolled,Warringah,Sydney,Australia,AU,634664,Tracy,True,"New South Wales, Australia",0,within an hour,61,1,0,Entire home/apt,Real Bed,1,1125,151.29792,-33.71472,117.0,0,1,Apartment,61,2016-01-23 05:00:00+00:00,0,0,25,26,"TV, Cable TV, Internet, Wifi, Pool, Kitchen"
10120414,3,"Lower East Side is one of the most fascinating neighborhoods in New York City. Throughout it's history, LES had been an active and fun area where you can find basically everything you want and need. I can give a small history of the area once you arrive since I just wrote an article about it:)",Lower East Side,New York,United States,US,33231070,Mert,False,"New York, New York, United States",0,0,0,1,0,Entire home/apt,Real Bed,3,1125,-73.98944,40.72063,150.0,1,1,Apartment,0,1970-01-01 00:00:00+00:00,0,0,0,0,"TV, Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom"
10186755,2,0,Sariyer,Istanbul,Turkey,TR,52316085,Mustafa,False,"Istanbul, İstanbul, Turkey",0,0,0,1,0,Private room,Real Bed,1,1125,29.03693,41.12452,185.0,1,2,Loft,0,1970-01-01 00:00:00+00:00,30,60,90,365,"TV, Internet, Wifi, Air conditioning, Kitchen, Doorman"
10109896,2,"We're 5 minutes from the bus stops (to the city or to the Balmain East ferry), 4 minutes to a park with tennis courts, and 2 minutes to an iconic Balmain pub, the Bald Rock Hotel.  The grocery store, bottle shops, and Darling St boutiques/shops are about 10-15 minutes walk depending on how fast you move :)",Leichhardt,Sydney,Australia,AU,6517277,Kristin,False,"Sydney, New South Wales, Australia",Lilyfield/Rozelle,0,0,1,0,Entire home/apt,Real Bed,2,1125,151.17956,-33.86296,250.0,1,1,House,0,1970-01-01 00:00:00+00:00,0,0,0,0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom"
10092679,2,"Beyoğlu / Centre of İstanbul It calls Hasköy area, near the Golden Horn",Beyoglu,Istanbul,Turkey,TR,21331922,Ali,True,İstanbul,Taksim,within an hour,27,1,0,Private room,Pull-out Sofa,2,1125,28.95825,41.03777,58.0,1,1,Apartment,27,2017-10-08 04:00:00+00:00,3,19,37,37,"Wifi, Kitchen, Smoking allowed, Breakfast, Pets live on this property, Cat(s)"
10201975,4,0,Ipanema,Rio De Janeiro,Brazil,BR,2537111,Barbara,True,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Santa Teresa,within a few hours,24,2,0,Entire home/apt,Real Bed,4,1125,-43.1998455458952,-22.980051683700506,298.0,2,2,Apartment,24,2016-02-23 05:00:00+00:00,24,54,84,174,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen"
10140368,2,"our neighborhood is basically peaceful, there a lot of children because the school bus picks them up by the corner. but all in all, its a quiet and friendly place to live.",Briarwood,New York,United States,US,1017772,Lane,True,US,Jamaica,within an hour,239,1,0,Private room,Real Bed,1,10,-73.82257,40.71485,45.0,1,1,Apartment,239,2016-01-06 05:00:00+00:00,20,29,29,34,"Wifi, Kitchen, Free street parking, Heating, Family/kid friendly, Smoke detector"
1019168,1,"We live right between two of Montreal's most happening neighborhoods. At the foot of the Mont-Royal and right next to Saint-Laurent, Mont-Royal and St-Denis streets. Our street is however quiet and peaceful.",Le Plateau-Mont-Royal,Montreal,Canada,CA,39300,Lilou,True,"Montreal, Quebec, Canada",Mile End,within a day,62,1,0,Private room,Real Bed,2,120,-73.58774,45.52028,34.0,1,1,Apartment,62,2014-06-22 04:00:00+00:00,0,0,0,0,"TV, Wifi, Kitchen, Paid parking off premises, Pets live on this property, Cat(s)"
10199760,4,0,Zeytinburnu,Istanbul,Turkey,TR,37417314,Yaşar,False,"Istanbul, Turkey",0,within a day,0,1,0,Entire home/apt,Real Bed,1,1125,28.89964,40.99667,264.0,1,2,Apartment,0,1970-01-01 00:00:00+00:00,30,60,90,365,"TV, Internet, Wifi, Kitchen, Heating, Family/kid friendly"
10220130,6,"Nearby you can find restaurants, bars, night clubs, markets and a shopping mall (Recreio Shopping). The neighborhood also has the beautiful Recreio beach. (Nearest point from the condominium: Posto 9).",Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,31553171,José Augusto,False,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Recreio dos Bandeirantes,0,0,4,0,Entire home/apt,Real Bed,2,30,-43.45296045334386,-23.008710784460312,746.0,3,3,Apartment,0,1970-01-01 00:00:00+00:00,0,0,0,0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool"
1022200,6,0,North Kona,The Big Island,United States,US,3393610,Daniel,False,"Las Vegas, Nevada, United States",Kailua/Kona,0,1,1,0,Entire home/apt,Real Bed,7,7,-155.96445,19.5702,135.0,2,3,Apartment,1,2018-06-15 04:00:00+00:00,0,13,43,196,"Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen"
10240767,2,"10-minute walk to the bus stop on Tung Chung Road. 10-minute walk to Indian and Thai Food restaurants. 15-minute walk to Yat Tung Estate (shopping centre, restaurants and bus terminus). 7-minute walk to Chung Mun Road (Mun Tung Estate Car Park Entrance). 10-minute to Airport / Asia Expo by taxi/car. 4-minute to Tung Chung MTR station by taxi/car.",Islands,Hong Kong,Hong Kong,HK,52491634,Ricky,True,Hong Kong,0,within a few hours,162,1,0,Private room,Real Bed,1,1125,113.92823,22.27671,487.0,1,1,Guesthouse,162,2016-07-29 04:00:00+00:00,18,41,67,339,"TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Pets live on this property"
10166986,4,0,Williamsburg,New York,United States,US,14461742,Mohammed,False,"Paris, Île-de-France, France",Williamsburg,0,1,1,0,Entire home/apt,Real Bed,5,1125,-73.93869,40.71552,220.0,2,2,Apartment,1,2016-01-01 05:00:00+00:00,0,0,0,0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Pool"
10264100,6,"The location is perfect, close to the beach, the Lido Square and the Copacabana Palace, right next to subway station, and has many bars, restaurants, markets, shops and craft fair and trade in general in the surroundings.",Copacabana,Rio De Janeiro,Brazil,BR,52772199,Ana Lúcia,False,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,within a few hours,8,4,0,Entire home/apt,Real Bed,2,15,-43.17714541632985,-22.96270793328072,798.0,2,5,Apartment,8,2016-08-13 04:00:00+00:00,11,41,71,247,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises"
10166883,9,East harlem is a very diverse neighborhood with people of all backgrounds. The apartment is half a block away from a mall with a target and a costco right there. 10 min walk to Central Park.,East Harlem,New York,United States,US,35215309,Vick,False,"New York, New York, United States",East Harlem,0,22,4,0,Entire home/apt,Real Bed,3,6,-73.93943,40.79805,180.0,3,4,Apartment,22,2016-01-03 05:00:00+00:00,0,0,0,0,"TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises"
10096773,2,Chelsea is considered a high end neighborhood in NYC.  (URL HIDDEN),Chelsea,New York,United States,US,34607505,Scott,False,"New York, New York, United States",Chelsea,0,1,1,0,Entire home/apt,Real Bed,2,1125,-74.00074,40.74577,145.0,1,1,Apartment,1,2016-01-03 05:00:00+00:00,0,0,0,0,"TV, Internet, Wifi, Kitchen, Heating, Smoke detector"
10115921,4,0,Sisli,Istanbul,Turkey,TR,51471538,Ahmet,False,"Istanbul, İstanbul, Turkey",Şişli,within an hour,3,1,0,Entire home/apt,Real Bed,1,1125,28.98713,41.04841,838.0,2,4,Serviced apartment,3,2016-02-01 05:00:00+00:00,30,60,90,365,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible"
10138784,2,"This elevator building is located in a great neighborhood where there are many great restaurants from all parts of the world ( Latin American, Indian, Thai, Japanese, Filipino and the list goes on) .  The building is also conveniently near many groceries (including organic choices) and drugstores if you ever need anything.",Jackson Heights,New York,United States,US,52031360,Cheer,True,"New York, New York, United States",Jackson Heights,within an hour,123,1,0,Private room,Real Bed,2,1125,-73.88025,40.74953,46.0,1,1,Apartment,123,2016-01-05 05:00:00+00:00,30,60,90,365,"Internet, Wifi, Air conditioning, Pets live on this property, Dog(s), Other pet(s)"
10184012,2,"Fica a doze minutos da UERJ e quinze do Maracanã, andando a pé e devagar.",Vila Isabel,Rio De Janeiro,Brazil,BR,52299431,Ricardo,False,BR,0,0,0,1,0,Entire home/apt,Real Bed,1,1125,-43.24277868091869,-22.91500935448249,380.0,2,2,Apartment,0,1970-01-01 00:00:00+00:00,30,60,90,365,"Air conditioning, Kitchen, Free parking on premises, Doorman, Elevator, Buzzer/wireless intercom"
